Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
0	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
1	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
10	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
11	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
12	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
13	o__Clostridiales (UID1226)	155	278	158	191	72	9	6	0	0	29.22	5.57	7.41
14	o__Clostridiales (UID1212)	172	263	149	214	48	1	0	0	0	15.49	0.67	100.00
15	k__Bacteria (UID203)	5449	104	58	94	10	0	0	0	0	7.39	0.00	0.00
16	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
17	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
18	o__Clostridiales (UID1212)	172	263	149	125	133	5	0	0	0	45.99	1.07	20.00
19	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
2	k__Bacteria (UID203)	5449	103	57	85	18	0	0	0	0	14.66	0.00	0.00
20	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	8.39	0.00	0.00
21	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
22	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
23	o__Clostridiales (UID1212)	172	263	149	107	151	5	0	0	0	60.93	1.57	0.00
24	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
25	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
26	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
27	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
28	o__Clostridiales (UID1212)	172	263	149	2	259	2	0	0	0	98.66	1.01	0.00
29	o__Clostridiales (UID1212)	172	263	149	172	70	21	0	0	0	33.53	6.79	9.52
3	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
30	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
31	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
32	f__Lachnospiraceae (UID1286)	57	420	207	8	339	73	0	0	0	97.85	23.45	4.11
4	o__Bacteroidales (UID2657)	160	492	269	138	339	15	0	0	0	67.35	2.68	26.67
5	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
6	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
7	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
8	g__Streptococcus (UID684)	26	668	229	34	612	22	0	0	0	94.18	4.08	59.09
9	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
